post,label
"I have exams this week and my chest feels tight every time I open my books.",stress
"Deadlines are piling up and I cannot relax even after closing my laptop.",stress
"I feel burned out from work and every notification makes me tense.",stress
"My mind keeps racing about tomorrow's presentation and I cannot sleep.",anxiety
"I keep imagining everything going wrong even though people say I am prepared.",anxiety
"The smallest message makes me panic and I check my phone again and again.",anxiety
"I do not enjoy anything lately and getting out of bed feels impossible.",depression
"I feel empty most days and I have stopped replying to friends.",depression
"Nothing feels worth doing and I am tired of pretending that I am fine.",depression
"Had a calm morning walk and finished my tasks before lunch.",normal
"I cooked dinner, watched a movie, and felt grateful for a quiet evening.",normal
"Today was ordinary but good, I met friends and laughed a lot.",normal
"Too many assignments are due at once and my head feels heavy.",stress
"My manager changed the schedule again and I feel overwhelmed.",stress
"I cannot focus because I keep thinking about all the unfinished work.",stress
"I feel nervous for no clear reason and my heart keeps beating fast.",anxiety
"I am scared to join the call because I think everyone will judge me.",anxiety
"I keep overthinking one small mistake and it is ruining my whole day.",anxiety
"I feel hopeless and disconnected from everyone around me.",depression
"I have been sad for weeks and hobbies that I loved feel pointless.",depression
"I sleep too much, eat badly, and still feel exhausted.",depression
"Went to the library, completed a chapter, and felt focused.",normal
"Shared tea with my family and felt peaceful after a long day.",normal
"The weather was nice so I walked outside and listened to music.",normal
"My workload is crushing me and I feel like I am always behind.",stress
"I am under constant pressure and my shoulders hurt from tension.",stress
"I cannot stop worrying that I will fail even after studying.",anxiety
"Every plan makes me anxious and I cancel because I feel unsafe.",anxiety
"I feel numb and lonely even when people are sitting beside me.",depression
"I cried for no clear reason and the day felt very dark.",depression
"Finished a small workout and felt proud of myself.",normal
"I cleaned my room, called a friend, and felt lighter.",normal
"Too many tasks are open and I feel trapped by deadlines.",stress
"The upcoming interview is making me sweat and shake.",anxiety
"I have lost interest in food, messages, and everything I used to enjoy.",depression
"Spent the evening reading and felt relaxed.",normal
